Subject;BPM;Gender;Age;Nationality;Perceived appetite;Liking for focaccia;Liking for music;Water consumption (ml);Food consumption (g);Bites (n.);Bites rate (s);Sips (n.);Sips rate (s);Chews (n.);Chewing total duration (s);Chewing duration mean (s);Chewing rate (s);Consumption total duration (s);Active;Affectionate;Adventurous;Aggressive;Bored;Calm;Daring;Disgusted;Eager;Energetic;Enthusiastic;Free;Friendly;Glad;Good;Good-natured;Guilty;Happy;Interested;Joyful;Loving;Merry;Mild;Nostalgic;Peaceful;Pleased;Pleasant;Polite;Quiet;Satisfied;Secure;Steady;Tame;Tender;Understanding;Warm;Whole;Wild;Worried
Sbj 001;85;Female;21;Italian;5;4;4;500;101;17;22,5;8;62,2;17;174,9;10,3;12,1;435,9;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 003;85;Male;26;Not Italian;1;8;7;0;139;30;16,2;0;0,0;30;292,8;9,8;6,5;485,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 004;85;Male;23;Italian;3;2;2;375;150;30;13,1;0;0,0;30;250,7;8,4;5,0;401,3;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Sbj 005;85;Male;20;Not Italian;6;4;8;185;45;8;47,6;4;144,9;8;251,2;31,4;17,1;488,8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 006;85;Female;23;Italian;2;7;8;135;73;21;10,3;1;0,0;21;151,0;7,2;3,2;226,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Sbj 007;85;Female;47;Italian;4;8;9;235;150;32;17,2;2;247,6;32;430,7;13,5;3,6;544,6;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
Sbj 008;145;Female;26;Not Italian;4;7;7;0;77;21;14,5;3;6,2;21;197,6;9,4;5,3;309,2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Sbj 009;85;Male;22;Italian;2;8;9;70;150;18;19,4;2;242,7;18;275,1;15,3;4,1;370,9;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sbj 010;145;Female;48;Italian;3;8;5;0;96;15;12,0;0;0,0;15;148,6;9,9;2,6;188,7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Sbj 011;145;Female;22;Italian;3;8;9;235;90;21;15,1;7;20,0;20;208,3;10,4;6,0;326,8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
